pipeline_id,package_id,time_stamp,action
"('r2_1', 'm1_2')",384404,99.85999999999999,end
"('r2_1', 'm1_2')",384405,57.59999999999999,start
"('r2_1', 'm1_2')",384405,99.85999999999999,end
"('r2_1', 'm1_2')",384406,62.399999999999984,start
"('r2_1', 'm1_2')",384406,104.65999999999998,end
"('r2_1', 'm1_2')",385545,62.399999999999984,start
"('r2_1', 'm1_2')",385545,104.65999999999998,end
"('r2_1', 'm1_2')",385998,67.19999999999999,start
"('r2_1', 'm1_2')",385998,109.45999999999998,end
"('r2_1', 'm1_2')",385999,67.19999999999999,start
"('r2_1', 'm1_2')",385999,109.45999999999998,end
"('r2_1', 'm1_2')",386000,71.99999999999999,start
"('r2_1', 'm1_2')",386000,114.25999999999999,end
"('r2_1', 'm1_2')",386002,71.99999999999999,start
"('r2_1', 'm1_2')",386002,114.25999999999999,end
"('r2_1', 'm1_2')",386003,76.79999999999998,start
