equipment_id,truck_id,truck_type,time_stamp,action,store_size,real_time_stamp,run_time
truck,328228,AA,14711.000000000002,wait,1,2017-07-26 01:05:11.000,2017-08-29 10:01:50.972091
a2_9,328228,AA,14711.000000000002,start,1,2017-07-26 01:05:11.000,2017-08-29 10:01:50.972091
a2_9,328228,AA,14711.000000000002,end,1,2017-07-26 01:05:11.000,2017-08-29 10:01:50.972091
truck,327979,AA,14729.000000000002,wait,1,2017-07-26 01:05:29.000,2017-08-29 10:01:50.972091
a1_1,327979,AA,14729.000000000002,start,1,2017-07-26 01:05:29.000,2017-08-29 10:01:50.972091
a1_1,327979,AA,14729.000000000002,end,1,2017-07-26 01:05:29.000,2017-08-29 10:01:50.972091
truck,328003,AA,14806.000000000002,wait,1,2017-07-26 01:06:46.000,2017-08-29 10:01:50.972091
a2_11,328003,AA,14806.000000000002,start,1,2017-07-26 01:06:46.000,2017-08-29 10:01:50.972091
a2_11,328003,AA,14806.000000000002,end,1,2017-07-26 01:06:46.000,2017-08-29 10:01:50.972091
truck,328010,AA,14806.000000000002,wait,1,2017-07-26 01:06:46.000,2017-08-29 10:01:50.972091
a2_12,328010,AA,14806.000000000002,start,1,2017-07-26 01:06:46.000,2017-08-29 10:01:50.972091
a2_12,328010,AA,14806.000000000002,end,1,2017-07-26 01:06:46.000,2017-08-29 10:01:50.972091
truck,328020,AA,14808.000000000002,wait,1,2017-07-26 01:06:48.000,2017-08-29 10:01:50.972091
a2_3,328020,AA,14808.000000000002,start,1,2017-07-26 01:06:48.000,2017-08-29 10:01:50.972091
a2_3,328020,AA,14808.000000000002,end,1,2017-07-26 01:06:48.000,2017-08-29 10:01:50.972091
truck,328233,AA,14826.000000000002,wait,1,2017-07-26 01:07:06.000,2017-08-29 10:01:50.972091
a2_6,328233,AA,14826.000000000002,start,1,2017-07-26 01:07:06.000,2017-08-29 10:01:50.972091
a2_6,328233,AA,14826.000000000002,end,1,2017-07-26 01:07:06.000,2017-08-29 10:01:50.972091
truck,328135,AA,14831.000000000002,wait,1,2017-07-26 01:07:11.000,2017-08-29 10:01:50.972091
a2_9,328135,AA,14831.000000000002,start,1,2017-07-26 01:07:11.000,2017-08-29 10:01:50.972091
